2025-07-11 22:18:22 | main | INFO | 🚀 Starting Project Chimera ABOP... | D:\Augment code projects\Project-Chimera-Dev\main.py:66
2025-07-12 09:04:14 | main | INFO | ✅ Database initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:71
2025-07-12 09:04:15 | main | INFO | ✅ Orchestrator initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:76
2025-07-12 09:04:15 | main | INFO | 🎯 Project Chimera is ready for autonomous operations! | D:\Augment code projects\Project-Chimera-Dev\main.py:78
2025-07-12 09:04:32 | main | INFO | 🛑 Shutting down Project Chimera... | D:\Augment code projects\Project-Chimera-Dev\main.py:83
2025-07-12 09:04:32 | main | INFO | ✅ Shutdown complete | D:\Augment code projects\Project-Chimera-Dev\main.py:88
2025-07-12 09:04:34 | main | INFO | 🚀 Starting Project Chimera ABOP... | D:\Augment code projects\Project-Chimera-Dev\main.py:66
2025-07-12 09:04:34 | main | INFO | ✅ Database initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:71
2025-07-12 09:04:34 | main | INFO | ✅ Orchestrator initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:76
2025-07-12 09:04:34 | main | INFO | 🎯 Project Chimera is ready for autonomous operations! | D:\Augment code projects\Project-Chimera-Dev\main.py:78
2025-07-12 09:04:53 | main | INFO | 🛑 Shutting down Project Chimera... | D:\Augment code projects\Project-Chimera-Dev\main.py:83
2025-07-12 09:04:53 | main | INFO | ✅ Shutdown complete | D:\Augment code projects\Project-Chimera-Dev\main.py:88
2025-07-12 09:04:55 | main | INFO | 🚀 Starting Project Chimera ABOP... | D:\Augment code projects\Project-Chimera-Dev\main.py:66
2025-07-12 09:04:55 | main | INFO | ✅ Database initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:71
2025-07-12 09:04:55 | main | INFO | ✅ Orchestrator initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:76
2025-07-12 09:04:55 | main | INFO | 🎯 Project Chimera is ready for autonomous operations! | D:\Augment code projects\Project-Chimera-Dev\main.py:78
2025-07-12 09:05:09 | main | INFO | 🛑 Shutting down Project Chimera... | D:\Augment code projects\Project-Chimera-Dev\main.py:83
2025-07-12 09:05:09 | main | INFO | ✅ Shutdown complete | D:\Augment code projects\Project-Chimera-Dev\main.py:88
2025-07-12 09:05:10 | main | INFO | 🚀 Starting Project Chimera ABOP... | D:\Augment code projects\Project-Chimera-Dev\main.py:66
2025-07-12 09:05:10 | main | INFO | ✅ Database initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:71
2025-07-12 09:05:10 | main | INFO | ✅ Orchestrator initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:76
2025-07-12 09:05:10 | main | INFO | 🎯 Project Chimera is ready for autonomous operations! | D:\Augment code projects\Project-Chimera-Dev\main.py:78
2025-07-12 09:05:25 | main | INFO | 🛑 Shutting down Project Chimera... | D:\Augment code projects\Project-Chimera-Dev\main.py:83
2025-07-12 09:05:25 | main | INFO | ✅ Shutdown complete | D:\Augment code projects\Project-Chimera-Dev\main.py:88
2025-07-12 09:05:26 | main | INFO | 🚀 Starting Project Chimera ABOP... | D:\Augment code projects\Project-Chimera-Dev\main.py:66
2025-07-12 09:05:26 | main | INFO | ✅ Database initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:71
2025-07-12 09:05:26 | main | INFO | ✅ Orchestrator initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:76
2025-07-12 09:05:26 | main | INFO | 🎯 Project Chimera is ready for autonomous operations! | D:\Augment code projects\Project-Chimera-Dev\main.py:78
2025-07-12 09:05:38 | main | INFO | 🛑 Shutting down Project Chimera... | D:\Augment code projects\Project-Chimera-Dev\main.py:83
2025-07-12 09:05:38 | main | INFO | ✅ Shutdown complete | D:\Augment code projects\Project-Chimera-Dev\main.py:88
2025-07-12 09:05:39 | main | INFO | 🚀 Starting Project Chimera ABOP... | D:\Augment code projects\Project-Chimera-Dev\main.py:66
2025-07-12 09:05:39 | main | INFO | ✅ Database initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:71
2025-07-12 09:05:40 | main | INFO | ✅ Orchestrator initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:76
2025-07-12 09:05:40 | main | INFO | 🎯 Project Chimera is ready for autonomous operations! | D:\Augment code projects\Project-Chimera-Dev\main.py:78
2025-07-12 09:05:52 | main | INFO | 🛑 Shutting down Project Chimera... | D:\Augment code projects\Project-Chimera-Dev\main.py:83
2025-07-12 09:05:52 | main | INFO | ✅ Shutdown complete | D:\Augment code projects\Project-Chimera-Dev\main.py:88
2025-07-12 09:05:54 | main | INFO | 🚀 Starting Project Chimera ABOP... | D:\Augment code projects\Project-Chimera-Dev\main.py:66
2025-07-12 09:05:54 | main | INFO | ✅ Database initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:71
2025-07-12 09:05:54 | main | INFO | ✅ Orchestrator initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:76
2025-07-12 09:05:54 | main | INFO | 🎯 Project Chimera is ready for autonomous operations! | D:\Augment code projects\Project-Chimera-Dev\main.py:78
2025-07-12 09:06:07 | main | INFO | 🛑 Shutting down Project Chimera... | D:\Augment code projects\Project-Chimera-Dev\main.py:83
2025-07-12 09:06:07 | main | INFO | ✅ Shutdown complete | D:\Augment code projects\Project-Chimera-Dev\main.py:88
2025-07-12 09:06:09 | main | INFO | 🚀 Starting Project Chimera ABOP... | D:\Augment code projects\Project-Chimera-Dev\main.py:66
2025-07-12 09:06:09 | main | INFO | ✅ Database initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:71
2025-07-12 09:06:09 | main | INFO | ✅ Orchestrator initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:76
2025-07-12 09:06:09 | main | INFO | 🎯 Project Chimera is ready for autonomous operations! | D:\Augment code projects\Project-Chimera-Dev\main.py:78
2025-07-12 09:06:20 | main | INFO | 🛑 Shutting down Project Chimera... | D:\Augment code projects\Project-Chimera-Dev\main.py:83
2025-07-12 09:06:20 | main | INFO | ✅ Shutdown complete | D:\Augment code projects\Project-Chimera-Dev\main.py:88
2025-07-12 09:06:22 | main | INFO | 🚀 Starting Project Chimera ABOP... | D:\Augment code projects\Project-Chimera-Dev\main.py:66
2025-07-12 09:06:22 | main | INFO | ✅ Database initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:71
2025-07-12 09:06:22 | main | INFO | ✅ Orchestrator initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:76
2025-07-12 09:06:22 | main | INFO | 🎯 Project Chimera is ready for autonomous operations! | D:\Augment code projects\Project-Chimera-Dev\main.py:78
2025-07-12 09:06:33 | main | INFO | 🛑 Shutting down Project Chimera... | D:\Augment code projects\Project-Chimera-Dev\main.py:83
2025-07-12 09:06:33 | main | INFO | ✅ Shutdown complete | D:\Augment code projects\Project-Chimera-Dev\main.py:88
2025-07-12 09:06:34 | main | INFO | 🚀 Starting Project Chimera ABOP... | D:\Augment code projects\Project-Chimera-Dev\main.py:66
2025-07-12 09:06:34 | main | INFO | ✅ Database initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:71
2025-07-12 09:06:35 | main | INFO | ✅ Orchestrator initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:76
2025-07-12 09:06:35 | main | INFO | 🎯 Project Chimera is ready for autonomous operations! | D:\Augment code projects\Project-Chimera-Dev\main.py:78
2025-07-12 09:11:44 | main | INFO | 🛑 Shutting down Project Chimera... | D:\Augment code projects\Project-Chimera-Dev\main.py:83
2025-07-12 09:11:44 | main | INFO | ✅ Shutdown complete | D:\Augment code projects\Project-Chimera-Dev\main.py:88
2025-07-12 09:11:45 | main | INFO | 🚀 Starting Project Chimera ABOP... | D:\Augment code projects\Project-Chimera-Dev\main.py:66
2025-07-12 09:11:45 | main | INFO | ✅ Database initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:71
2025-07-12 09:11:45 | main | INFO | ✅ Orchestrator initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:76
2025-07-12 09:11:45 | main | INFO | 🎯 Project Chimera is ready for autonomous operations! | D:\Augment code projects\Project-Chimera-Dev\main.py:78
2025-07-12 09:59:29 | main | INFO | 🚀 Starting Project Chimera ABOP... | D:\Augment code projects\Project-Chimera-Dev\main.py:77
2025-07-12 09:59:29 | main | INFO | ✅ Database initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:82
2025-07-12 09:59:29 | main | INFO | ✅ Orchestrator initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:87
2025-07-12 09:59:29 | main | INFO | 🎯 Project Chimera is ready for autonomous operations! | D:\Augment code projects\Project-Chimera-Dev\main.py:89
2025-07-12 10:00:48 | main | INFO | 🎯 New mission briefing received | D:\Augment code projects\Project-Chimera-Dev\main.py:219
2025-07-12 10:01:05 | main | INFO | 🔍 Lead search requested: plumbers in New York | D:\Augment code projects\Project-Chimera-Dev\main.py:262
2025-07-12 10:01:53 | main | INFO | 🛑 Shutting down Project Chimera... | D:\Augment code projects\Project-Chimera-Dev\main.py:94
2025-07-12 10:01:53 | main | INFO | ✅ Shutdown complete | D:\Augment code projects\Project-Chimera-Dev\main.py:99
2025-07-12 10:01:54 | main | INFO | 🚀 Starting Project Chimera ABOP... | D:\Augment code projects\Project-Chimera-Dev\main.py:77
2025-07-12 10:01:54 | main | INFO | ✅ Database initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:82
2025-07-12 10:01:54 | main | INFO | ✅ Orchestrator initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:87
2025-07-12 10:01:54 | main | INFO | 🎯 Project Chimera is ready for autonomous operations! | D:\Augment code projects\Project-Chimera-Dev\main.py:89
2025-07-12 10:02:07 | main | INFO | 🛑 Shutting down Project Chimera... | D:\Augment code projects\Project-Chimera-Dev\main.py:94
2025-07-12 10:02:07 | main | INFO | ✅ Shutdown complete | D:\Augment code projects\Project-Chimera-Dev\main.py:99
2025-07-12 10:02:08 | main | INFO | 🚀 Starting Project Chimera ABOP... | D:\Augment code projects\Project-Chimera-Dev\main.py:77
2025-07-12 10:02:08 | main | INFO | ✅ Database initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:82
2025-07-12 10:02:09 | main | INFO | ✅ Orchestrator initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:87
2025-07-12 10:02:09 | main | INFO | 🎯 Project Chimera is ready for autonomous operations! | D:\Augment code projects\Project-Chimera-Dev\main.py:89
2025-07-12 10:02:23 | main | INFO | 🛑 Shutting down Project Chimera... | D:\Augment code projects\Project-Chimera-Dev\main.py:94
2025-07-12 10:02:23 | main | INFO | ✅ Shutdown complete | D:\Augment code projects\Project-Chimera-Dev\main.py:99
2025-07-12 10:02:25 | main | INFO | 🚀 Starting Project Chimera ABOP... | D:\Augment code projects\Project-Chimera-Dev\main.py:77
2025-07-12 10:02:25 | main | INFO | ✅ Database initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:82
2025-07-12 10:02:25 | main | INFO | ✅ Orchestrator initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:87
2025-07-12 10:02:25 | main | INFO | 🎯 Project Chimera is ready for autonomous operations! | D:\Augment code projects\Project-Chimera-Dev\main.py:89
2025-07-12 10:02:37 | main | INFO | 🛑 Shutting down Project Chimera... | D:\Augment code projects\Project-Chimera-Dev\main.py:94
2025-07-12 10:02:37 | main | INFO | ✅ Shutdown complete | D:\Augment code projects\Project-Chimera-Dev\main.py:99
2025-07-12 10:02:38 | main | INFO | 🚀 Starting Project Chimera ABOP... | D:\Augment code projects\Project-Chimera-Dev\main.py:77
2025-07-12 10:02:38 | main | INFO | ✅ Database initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:82
2025-07-12 10:02:38 | main | INFO | ✅ Orchestrator initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:87
2025-07-12 10:02:38 | main | INFO | 🎯 Project Chimera is ready for autonomous operations! | D:\Augment code projects\Project-Chimera-Dev\main.py:89
2025-07-12 10:02:51 | main | INFO | 🛑 Shutting down Project Chimera... | D:\Augment code projects\Project-Chimera-Dev\main.py:94
2025-07-12 10:02:51 | main | INFO | ✅ Shutdown complete | D:\Augment code projects\Project-Chimera-Dev\main.py:99
2025-07-12 10:02:53 | main | INFO | 🚀 Starting Project Chimera ABOP... | D:\Augment code projects\Project-Chimera-Dev\main.py:77
2025-07-12 10:02:53 | main | INFO | ✅ Database initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:82
2025-07-12 10:02:53 | main | INFO | ✅ Orchestrator initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:87
2025-07-12 10:02:53 | main | INFO | 🎯 Project Chimera is ready for autonomous operations! | D:\Augment code projects\Project-Chimera-Dev\main.py:89
2025-07-12 10:03:15 | main | INFO | 🚀 Starting Project Chimera ABOP... | D:\Augment code projects\Project-Chimera-Dev\main.py:77
2025-07-12 10:03:15 | main | INFO | ✅ Database initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:82
2025-07-12 10:03:15 | main | INFO | ✅ Orchestrator initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:87
2025-07-12 10:03:15 | main | INFO | 🎯 Project Chimera is ready for autonomous operations! | D:\Augment code projects\Project-Chimera-Dev\main.py:89
2025-07-12 10:03:45 | main | INFO | 🔍 Lead search requested: plumbers in New York | D:\Augment code projects\Project-Chimera-Dev\main.py:262
2025-07-12 10:04:13 | main | INFO | 🛑 Shutting down Project Chimera... | D:\Augment code projects\Project-Chimera-Dev\main.py:94
2025-07-12 10:04:13 | main | INFO | ✅ Shutdown complete | D:\Augment code projects\Project-Chimera-Dev\main.py:99
2025-07-12 10:04:14 | main | INFO | 🚀 Starting Project Chimera ABOP... | D:\Augment code projects\Project-Chimera-Dev\main.py:77
2025-07-12 10:04:14 | main | INFO | ✅ Database initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:82
2025-07-12 10:04:14 | main | INFO | ✅ Orchestrator initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:87
2025-07-12 10:04:14 | main | INFO | 🎯 Project Chimera is ready for autonomous operations! | D:\Augment code projects\Project-Chimera-Dev\main.py:89
2025-07-12 10:04:27 | main | INFO | 🔍 Lead search requested: plumbers in New York | D:\Augment code projects\Project-Chimera-Dev\main.py:262
2025-07-12 10:21:04 | main | INFO | 🛑 Shutting down Project Chimera... | D:\Augment code projects\Project-Chimera-Dev\main.py:94
2025-07-12 10:21:04 | main | INFO | ✅ Shutdown complete | D:\Augment code projects\Project-Chimera-Dev\main.py:99
2025-07-12 10:21:21 | main | INFO | 🚀 Starting Project Chimera ABOP... | D:\Augment code projects\Project-Chimera-Dev\main.py:77
2025-07-12 10:21:21 | main | INFO | ✅ Database initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:82
2025-07-12 10:21:21 | main | INFO | ✅ Orchestrator initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:87
2025-07-12 10:21:21 | main | INFO | 🎯 Project Chimera is ready for autonomous operations! | D:\Augment code projects\Project-Chimera-Dev\main.py:89
2025-07-12 10:21:24 | main | INFO | 🛑 Shutting down Project Chimera... | D:\Augment code projects\Project-Chimera-Dev\main.py:94
2025-07-12 10:21:24 | main | INFO | ✅ Shutdown complete | D:\Augment code projects\Project-Chimera-Dev\main.py:99
2025-07-12 10:21:25 | main | INFO | 🚀 Starting Project Chimera ABOP... | D:\Augment code projects\Project-Chimera-Dev\main.py:77
2025-07-12 10:21:25 | main | INFO | ✅ Database initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:82
2025-07-12 10:21:25 | main | INFO | ✅ Orchestrator initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:87
2025-07-12 10:21:25 | main | INFO | 🎯 Project Chimera is ready for autonomous operations! | D:\Augment code projects\Project-Chimera-Dev\main.py:89
2025-07-12 10:21:40 | main | INFO | 🛑 Shutting down Project Chimera... | D:\Augment code projects\Project-Chimera-Dev\main.py:94
2025-07-12 10:21:40 | main | INFO | ✅ Shutdown complete | D:\Augment code projects\Project-Chimera-Dev\main.py:99
2025-07-12 10:21:42 | main | INFO | 🚀 Starting Project Chimera ABOP... | D:\Augment code projects\Project-Chimera-Dev\main.py:77
2025-07-12 10:21:42 | main | INFO | ✅ Database initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:82
2025-07-12 10:21:42 | main | INFO | ✅ Orchestrator initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:87
2025-07-12 10:21:42 | main | INFO | 🎯 Project Chimera is ready for autonomous operations! | D:\Augment code projects\Project-Chimera-Dev\main.py:89
2025-07-12 10:21:56 | main | INFO | 🛑 Shutting down Project Chimera... | D:\Augment code projects\Project-Chimera-Dev\main.py:94
2025-07-12 10:21:56 | main | INFO | ✅ Shutdown complete | D:\Augment code projects\Project-Chimera-Dev\main.py:99
2025-07-12 10:21:57 | main | INFO | 🚀 Starting Project Chimera ABOP... | D:\Augment code projects\Project-Chimera-Dev\main.py:77
2025-07-12 10:21:57 | main | INFO | ✅ Database initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:82
2025-07-12 10:21:57 | main | INFO | ✅ Orchestrator initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:87
2025-07-12 10:21:57 | main | INFO | 🎯 Project Chimera is ready for autonomous operations! | D:\Augment code projects\Project-Chimera-Dev\main.py:89
2025-07-12 10:22:12 | main | INFO | 🔍 Lead search requested: plumbers in New York | D:\Augment code projects\Project-Chimera-Dev\main.py:262
2025-07-12 10:22:50 | main | INFO | 🛑 Shutting down Project Chimera... | D:\Augment code projects\Project-Chimera-Dev\main.py:94
2025-07-12 10:22:50 | main | INFO | ✅ Shutdown complete | D:\Augment code projects\Project-Chimera-Dev\main.py:99
2025-07-12 10:22:51 | main | INFO | 🚀 Starting Project Chimera ABOP... | D:\Augment code projects\Project-Chimera-Dev\main.py:77
2025-07-12 10:22:51 | main | INFO | ✅ Database initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:82
2025-07-12 10:22:51 | main | INFO | ✅ Orchestrator initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:87
2025-07-12 10:22:51 | main | INFO | 🎯 Project Chimera is ready for autonomous operations! | D:\Augment code projects\Project-Chimera-Dev\main.py:89
2025-07-12 10:23:11 | main | INFO | 🛑 Shutting down Project Chimera... | D:\Augment code projects\Project-Chimera-Dev\main.py:94
2025-07-12 10:23:11 | main | INFO | ✅ Shutdown complete | D:\Augment code projects\Project-Chimera-Dev\main.py:99
2025-07-12 10:23:12 | main | INFO | 🚀 Starting Project Chimera ABOP... | D:\Augment code projects\Project-Chimera-Dev\main.py:77
2025-07-12 10:23:12 | main | INFO | ✅ Database initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:82
2025-07-12 10:23:12 | main | INFO | ✅ Orchestrator initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:87
2025-07-12 10:23:12 | main | INFO | 🎯 Project Chimera is ready for autonomous operations! | D:\Augment code projects\Project-Chimera-Dev\main.py:89
2025-07-12 10:23:29 | main | INFO | 🛑 Shutting down Project Chimera... | D:\Augment code projects\Project-Chimera-Dev\main.py:94
2025-07-12 10:23:29 | main | INFO | ✅ Shutdown complete | D:\Augment code projects\Project-Chimera-Dev\main.py:99
2025-07-12 10:23:30 | main | INFO | 🚀 Starting Project Chimera ABOP... | D:\Augment code projects\Project-Chimera-Dev\main.py:77
2025-07-12 10:23:30 | main | INFO | ✅ Database initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:82
2025-07-12 10:23:30 | main | INFO | ✅ Orchestrator initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:87
2025-07-12 10:23:30 | main | INFO | 🎯 Project Chimera is ready for autonomous operations! | D:\Augment code projects\Project-Chimera-Dev\main.py:89
2025-07-12 10:23:47 | main | INFO | 🛑 Shutting down Project Chimera... | D:\Augment code projects\Project-Chimera-Dev\main.py:94
2025-07-12 10:23:47 | main | INFO | ✅ Shutdown complete | D:\Augment code projects\Project-Chimera-Dev\main.py:99
2025-07-12 10:23:49 | main | INFO | 🚀 Starting Project Chimera ABOP... | D:\Augment code projects\Project-Chimera-Dev\main.py:77
2025-07-12 10:23:49 | main | INFO | ✅ Database initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:82
2025-07-12 10:23:49 | main | INFO | ✅ Orchestrator initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:87
2025-07-12 10:23:49 | main | INFO | 🎯 Project Chimera is ready for autonomous operations! | D:\Augment code projects\Project-Chimera-Dev\main.py:89
2025-07-12 10:24:03 | main | INFO | 🛑 Shutting down Project Chimera... | D:\Augment code projects\Project-Chimera-Dev\main.py:94
2025-07-12 10:24:03 | main | INFO | ✅ Shutdown complete | D:\Augment code projects\Project-Chimera-Dev\main.py:99
2025-07-12 10:24:04 | main | INFO | 🚀 Starting Project Chimera ABOP... | D:\Augment code projects\Project-Chimera-Dev\main.py:77
2025-07-12 10:24:04 | main | INFO | ✅ Database initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:82
2025-07-12 10:24:04 | main | INFO | ✅ Orchestrator initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:87
2025-07-12 10:24:04 | main | INFO | 🎯 Project Chimera is ready for autonomous operations! | D:\Augment code projects\Project-Chimera-Dev\main.py:89
2025-07-12 10:24:24 | main | INFO | 🛑 Shutting down Project Chimera... | D:\Augment code projects\Project-Chimera-Dev\main.py:94
2025-07-12 10:24:24 | main | INFO | ✅ Shutdown complete | D:\Augment code projects\Project-Chimera-Dev\main.py:99
2025-07-12 10:24:25 | main | INFO | 🚀 Starting Project Chimera ABOP... | D:\Augment code projects\Project-Chimera-Dev\main.py:77
2025-07-12 10:24:25 | main | INFO | ✅ Database initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:82
2025-07-12 10:24:25 | main | INFO | ✅ Orchestrator initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:87
2025-07-12 10:24:25 | main | INFO | 🎯 Project Chimera is ready for autonomous operations! | D:\Augment code projects\Project-Chimera-Dev\main.py:89
2025-07-12 10:24:43 | main | INFO | 🛑 Shutting down Project Chimera... | D:\Augment code projects\Project-Chimera-Dev\main.py:94
2025-07-12 10:24:43 | main | INFO | ✅ Shutdown complete | D:\Augment code projects\Project-Chimera-Dev\main.py:99
2025-07-12 10:24:44 | main | INFO | 🚀 Starting Project Chimera ABOP... | D:\Augment code projects\Project-Chimera-Dev\main.py:77
2025-07-12 10:24:44 | main | INFO | ✅ Database initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:82
2025-07-12 10:24:44 | main | INFO | ✅ Orchestrator initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:87
2025-07-12 10:24:44 | main | INFO | 🎯 Project Chimera is ready for autonomous operations! | D:\Augment code projects\Project-Chimera-Dev\main.py:89
2025-07-12 10:25:01 | main | INFO | 🛑 Shutting down Project Chimera... | D:\Augment code projects\Project-Chimera-Dev\main.py:94
2025-07-12 10:25:01 | main | INFO | ✅ Shutdown complete | D:\Augment code projects\Project-Chimera-Dev\main.py:99
2025-07-12 10:25:02 | main | INFO | 🚀 Starting Project Chimera ABOP... | D:\Augment code projects\Project-Chimera-Dev\main.py:77
2025-07-12 10:25:02 | main | INFO | ✅ Database initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:82
2025-07-12 10:25:02 | main | INFO | ✅ Orchestrator initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:87
2025-07-12 10:25:02 | main | INFO | 🎯 Project Chimera is ready for autonomous operations! | D:\Augment code projects\Project-Chimera-Dev\main.py:89
2025-07-12 10:25:19 | main | INFO | 🔍 Lead search requested: plumbers in New York | D:\Augment code projects\Project-Chimera-Dev\main.py:262
2025-07-12 10:26:07 | main | INFO | 🛑 Shutting down Project Chimera... | D:\Augment code projects\Project-Chimera-Dev\main.py:94
2025-07-12 10:26:07 | main | INFO | ✅ Shutdown complete | D:\Augment code projects\Project-Chimera-Dev\main.py:99
2025-07-12 10:26:08 | main | INFO | 🚀 Starting Project Chimera ABOP... | D:\Augment code projects\Project-Chimera-Dev\main.py:77
2025-07-12 10:26:08 | main | INFO | ✅ Database initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:82
2025-07-12 10:26:08 | main | INFO | ✅ Orchestrator initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:87
2025-07-12 10:26:08 | main | INFO | 🎯 Project Chimera is ready for autonomous operations! | D:\Augment code projects\Project-Chimera-Dev\main.py:89
2025-07-12 10:26:24 | main | INFO | 🛑 Shutting down Project Chimera... | D:\Augment code projects\Project-Chimera-Dev\main.py:94
2025-07-12 10:26:24 | main | INFO | ✅ Shutdown complete | D:\Augment code projects\Project-Chimera-Dev\main.py:99
2025-07-12 10:26:26 | main | INFO | 🚀 Starting Project Chimera ABOP... | D:\Augment code projects\Project-Chimera-Dev\main.py:77
2025-07-12 10:26:26 | main | INFO | ✅ Database initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:82
2025-07-12 10:26:26 | main | INFO | ✅ Orchestrator initialized | D:\Augment code projects\Project-Chimera-Dev\main.py:87
2025-07-12 10:26:26 | main | INFO | 🎯 Project Chimera is ready for autonomous operations! | D:\Augment code projects\Project-Chimera-Dev\main.py:89
